unnamed_0,dbn,district,school_name,school,principal,progress_report_type,school_type,peerindex,overallgrade,overallscore2012,overallpercentile2012,progressscore2012,progressgrade2012,performancescore2012,performancegrade2012,environmentscore2012,environmentgrade2012,additionalcredit2012,201011_progress_report_grade,200910_progress_report_grade,parentresponserate,teacherresponserate,studentresponserate,safetyscore,communicationscore,engagementscore,expectationsscore
491,12X211,12,P.S. 211,P.S. 211,Betty Gonzalez-Soto,EMS,Elementary/Middle School,66.07,C,46.2,29.4,22.2,D,11.2,C,7.7,B,5.1,B,A,0.88,0.88,0.98,7.3,6.9,7.4,7.8
492,12X212,12,P.S. 212,P.S. 212,Donna Pickell Ridley,EMS,Elementary/Middle School,63,C,45.4,27.5,22.5,C,10.6,C,9,B,3.3,B,C,0.33,0.84,0.99,7.6,7,7.5,7.9
493,12X214,12,P.S. 214,P.S. 214,David Cintron,EMS,Elementary/Middle School,59.4,B,63.5,73.1,35.5,B,14.4,B,8.7,B,4.9,B,B,0.95,1,0.98,7.4,7.2,7.4,8
494,12X217,12,School Of Performing Arts,School of Performing Arts,Seth Litt,EMS,Middle School,2.11,B,51.9,41.2,29.1,C,12.1,C,8.1,B,2.6,C,A,0.75,0.64,0.63,7.5,7.3,8,8.3
495,12X242,12,Mott Hall V,Mott Hall V,Peter Oroszlany,EMS,Middle/High School,2.41,A,77.1,90.1,46.4,A,18.4,A,7.5,C,4.7,B,A,0.58,0.63,0.85,7.5,6.8,7.1,7.5
496,12X242,12,Mott Hall V,Mott Hall V,Peter Oroszlany,HS,Middle/High School,2.25,,,,,,,,,,,,,0.58,0.63,0.85,7.5,6.8,7.1,7.5
497,12X245,12,New Day Academy,New Day Academy,Mara Ganeles,EMS,Middle/High School,2.06,,.,.,.,,.,,.,,.,.,C,0.11,0,0,7.3,6.8,7,7.4
498,12X245,12,New Day Academy,New Day Academy,Mara Ganeles,HS,Middle/High School,1.53,,,,,,,,,,,,F,0.11,0,0,7.3,6.8,7,7.4
499,12X267,12,Bronx Latin,Bronx Latin,Leticia Pineiro,EMS,Middle/High School,2.23,A,69.6,80.9,32.7,B,21.8,A,10.8,A,4.2,A,A,0.74,1,0.98,8.2,7.6,7.5,8.2
500,12X267,12,Bronx Latin,Bronx Latin,Leticia Pineiro,HS,Middle/High School,1.91,A,84.4,94.4,42.2,A,16.3,A,12.3,A,5.1,A,,0.74,1,0.98,8.2,7.6,7.5,8.2
501,12X271,12,East Bronx Academy For The Future,East Bronx Academy for the Future,Sarah Scrogin,EMS,Middle/High School,2.1,B,55.5,51.1,26.9,C,16.2,B,7.7,B,4.7,C,B,0.26,0.66,0.46,7.2,7.2,7.6,7.8
502,12X271,12,East Bronx Academy For The Future,East Bronx Academy for the Future,Sarah Scrogin,HS,Middle/High School,1.68,B,67.5,59.2,30.4,C,15.8,A,9.2,B,7.8,B,B,0.26,0.66,0.46,7.2,7.2,7.6,7.8
503,12X273,12,Frederick Douglass Academy V. Middle School,Frederick Douglass Academy V. Middle School,Deborah Cimini,EMS,Middle School,2.32,B,58.7,58.8,27.8,C,18.8,A,9.1,B,2.9,B,B,0.65,1,0.96,7.7,7.6,7.9,8.3
504,12X286,12,Fannie Lou Hamer Middle School,Fannie Lou Hamer Middle School,Lorraine Chanon,EMS,Middle School,2.14,B,64.1,71.6,34.9,B,15.3,B,10.9,A,3,C,A,0.39,0.95,0.88,8.1,7.8,8.2,8.6
505,12X300,12,The School Of Science And Applied Learning,The School of Science and Applied Learning,Venessa Singleton,EMS,Elementary School,68.32,D,34,7.7,19.3,D,3.1,F,9.2,B,2.4,D,C,0.44,0.87,,8.1,7.8,7.9,8.1
506,12X316,12,Kappa Iii,Kappa III,Elisa Alvarez,EMS,Middle School,2.43,B,64.5,73.2,31.6,B,18.5,A,11.5,A,2.9,A,A,0.88,0.95,0.92,8.3,7.7,8.2,8.4
